NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
------------  ---------------------  -------  -------  ------  ------  ------  ------  ------  ------ 
Stormstormer  Entity                 Mid      0        106.59  8.49    92.80   120.54  72.13   139.90 
Nisha         Team Secret            Mid      0        105.04  10.00   88.65   121.63  66.73   143.74 
TORONTOTOKYO  Team Spirit            Mid      0        94.53   7.68    81.77   107.14  64.77   122.70 
Ori           Team Aster             Mid      0        91.42   8.85    77.17   106.25  57.96   125.56 
C. smile  <   beastcoast             Mid      0        90.77   8.58    76.88   105.11  59.79   124.63 
DarkMago♥     Thunder Awaken         Mid      0        90.08   7.49    78.19   102.98  68.17   121.48 
Mikoto        Talon                  Mid      0        89.44   9.37    74.17   105.09  59.05   127.91 
Armel         Fnatic                 Mid      0        80.73   8.76    66.98   95.73   54.18   116.18 
Bryle         TSM FTX                Mid      0        80.63   7.71    68.59   93.97   54.81   112.57 
Nine          Tundra Esports         Mid      0        76.73   7.64    64.59   89.55   52.51   108.23 
Somnus        Royal Never Give Up    Mid      0        70.93   6.62    60.04   81.74   44.63   93.66  
Yopaj-        BOOM Esports           Mid      0        69.74   6.90    58.38   80.92   45.99   92.35  
bzm           OG                     Mid      0        65.70   7.06    54.34   77.39   41.13   91.05  
Larl          BetBoom Team           Mid      0        63.19   8.12    49.69   76.58   36.68   93.18  
Abed          Evil Geniuses          Mid      0        61.25   5.99    51.79   71.47   42.60   87.54  
m1CKe         Team Liquid            Mid      0        60.49   6.03    50.82   70.62   41.84   86.24  
BOOM          Gaimin Gladiators      Mid      0        59.54   5.13    51.30   68.17   41.87   78.71  
Quinn         Soniqs                 Mid      0        59.10   7.67    47.60   72.63   38.50   91.34  
NothingToSay  PSG.LGD                Mid      0        58.52   5.42    49.45   67.24   39.02   79.30  
4nalog <01    Hokori                 Mid      0        57.57   6.69    46.98   68.81   35.65   86.80  

NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
